Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
Avant,1.98,Sep-16,Consumer finance,United States,
Intarcia Therapeutics,1.95,Aug-19,Pharmaceutical,United States,
ThoughtSpot,1.95,Dec-16,Analytics,United States,
Yinlong Group,1.95,Mar-18,Energy,China,
Sanpower Group,1.93,Jun-22,Holding company,China,
ZigBang,1.93,Jul-21,Property technology,South Korea,
Bunq,1.9,Oct-21,Financial services,Netherlands,
CoinSwitch Kuber,1.9,Aug-18,Cryptocurrency,India,"Ashish Singhal, Vimal Sagar Tiwari, Govind Soni"
Dfinity,1.9,Aug-15,Cloud computing,Switzerland,
Prosper Marketplace,1.9,Nov-19,Financial technology,United States,
Musinsa,1.89,Aug-17,Fashion,South Korea,
Apus Group,1.85,Aug-15,Mobile internet,China,
BenevolentAI,1.85,Aug-22,Drug discovery,United Kingdom,
MEGAZONE,1.83,Nov-18,Cloud computing,South Korea,
BillDesk,1.8,Jun-18,Financial technology,India,"M.N. Srinivasu, Ajay Kaushal, Karthik Ganapathy"
Landa Digital Printing,1.8,Sep-21,Printing,Israel,
Lightricks,1.8,Jun-15,Software development,Israel,
NantOmics,1.8,Oct-21,Biotechnology,United States,
Orca Security,1.8,Apr-17,Cybersecurity,Israel,
Quora,1.8,Aug-15,Social network,United States,
Zocdoc,1.8,Mar-18,Healthcare,United States,
L&P Cosmetic,1.78,Mar-18,Cosmetics,South Korea,
Creditas,1.75,Nov-21,Financial services,Brazil,
Spinny,1.75,Jun-21,Marketplace,India,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta"
Trulioo,1.75,Jan-23,Identity management,Canada,
ADVASA,1.7,Oct-21,Software,Japan,
Dragos,1.7,Mar-21,Cybersecurity,United States,
Dutchie.com,1.7,Jan-23,Cannabis,United States,
GVE,1.7,Jun-21,Software,Japan,
Harness,1.7,Apr-19,Software,United States,Jyoti Bansal
PAX Labs,1.7,Jun-18,Cannabis,United States,
Taihe Music Group,1.7,Sep-21,,China,
Vestiaire Collective,1.7,Aug-22,Marketplace,France,
Voodoo,1.7,Sep-20,Gaming,France,
VTEX,1.7,Sep-21,Technology,Brazil,
Wave,1.7,Sep-21,Financial technology,Senegal / United States,
Workato,1.7,Apr-21,Technology,United States,
Alan,1.68,Jun-21,Health technology,France,
GoStudent,1.67,Aug-22,Educational technology,Austria,
Incredible Health,1.65,Oct-21,Healthcare Technology,United States,"Iman Abuzeid, Rome Portlock"
Hibob,1.65,Jul-21,HR technology,Israel /  United States,
Solarisbank,1.65,Feb-22,Financial technology,Germany,
Wayflyer,1.6,May-17,Financial technology,Ireland,
Afiniti,1.6,Apr-18,Software development,United States,
Aiways,1.6,Jan-18,Electric vehicles,China,
Caocao Zhuanche,1.6,Mar-22,,China,
Cresta,1.6,Mar-21,Artificial intelligence,United States,"Sebastian Thrun, Tim Shi, Zayd Enam"
Clari,1.6,Apr-21,Software,United States,
Clio,1.6,Apr-21,Legal technology,Canada,
Cognite,1.6,Sep-21,Software,Norway,
HomeLight,1.6,Sep-21,Real estate,United States,
Infinidat,1.6,Dec-20,Data storage,Israel / United States,
Judo Bank,1.6,Apr-22,Financial services,Australia,
Nord Security,1.6,May-21,VPN service,Lithuania,"Tom Okman, Eimantas Sabaliauskas, Jonas Karklys"
SafetyCulture,1.6,May-21,Technology,Australia,Luke Anear
SmartHR,1.6,Mar-21,HR technology,Japan,
Unite Us,1.6,Jun-22,Healthcare,United States,
Vanta,1.6,Nov-21,Cybersecurity,United States,Christina Cacioppo
CureFit,1.56,Feb-18,,India,"Mukesh Bansal, Ankit Nagori"
HeartFlow,1.5+,Jan-18,,United States,
Aihuishou,1.5,Sep-21,,China,
Andela,1.5,Jul-21,Education,Nigeria/ United States,
Culture Amp,1.5,Oct-21,Software,Australia,
"Devo, Inc.",1.5,May-19,Software,Spain,
Gett,1.5,Mar-21,Transportation,Israel,
ID.me,1.5,Jun-21,Identity verification service,United States,
Ledger,1.5,Sep-21,Cryptocurrency,France,
Matillion,1.5,Aug-21,Data analytics,United Kingdom,
MOLOCO,1.5,Feb-23,Advertising technology,United States,
Molbio Diagnostics,1.5,Feb-13,Medical device,India,
Mu Sigma,1.5,Jun-21,Management consulting,India / United States,
NextSilicon,1.5,Jul-21,Semiconductors,Israel,
NotCo,1.5,Aug-19,Food technology,Chile,
Podium,1.5,Jul-21,Software,United States,
Remote,1.5,Jun-16,Software,Portugal[389] / United States[80],"Marcelo Lebre, Job van der Voort"
Spring Rain Software,1.5,Mar-21,,China,
Starling Bank,1.5,Oct-17,Financial technology,United Kingdom,
Tujia.com,1.5,Jul-22,,China,
5ire,1.5+,Jun-15,Technology,India,Pratik Gauri
ZBJ.com,1.5,Sep-21,,China,
Ascend Money,1.5,Jun-18,Financial technology,Thailand,
Hellobike,1.47,Jul-18,,China,
Suning Sports,1.47,Oct-14,Holding company,China,
Koudai Gouwu,1.45,Jul-21,,China,
M1 Finance,1.45,May-21,Financial technology,United States,
Zeta,1.45,Apr-22,Financial technology,India,"Bhavin Turakhia, Ramki Gaddipati"
Einride,1.44,Jan-22,Technology,Sweden,
Deliverect,1.4,May-19,Ordering software for POS,Belgium,
Away,1.4,Jul-22,Retail,United States,
OneCard,1.4+,May-22,Financial technology,India,"Anurag Sinha, Rupesh Kumar, Vaibhav Hathi"
